sequence_length,batch_size,latency_s,tokens_per_sec
16,1,0.15434727668762208,103.66234081591104
16,2,0.17287782430648804,185.10182048143147
16,4,0.2128746509552002,300.6464119275005
16,8,0.2696666598320007,474.66008619583357
32,1,0.17013151645660402,188.0897829307384
32,2,0.19998655319213868,320.0215163392085
32,4,0.2646120309829712,483.72706080109145
32,8,0.40665531158447266,629.5257745497867
64,1,0.2026551842689514,315.80736624562815
64,2,0.2709971785545349,472.32964078347976
64,4,0.4138380765914917,618.599434127718
64,8,0.7280485153198242,703.2498373753069
128,1,0.268128764629364,477.38257466309204
128,2,0.4068527936935425,629.2202092947388
128,4,0.7286299586296081,702.6886472839503
128,8,1.4788195133209228,692.4442034852829
256,1,0.4114585518836975,622.1768847141636
256,2,0.7324234485626221,699.0491648032266
256,4,1.478839063644409,692.4350493396377
256,8,2.564292001724243,798.6609943886712
